id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,company_process_time,company_size,company_industry,salary,experience_years,experience_group,range_gaji,median_salary_by_level,salary_competitiveness_index,median_salary_by_location,salary_vs_location
6,KEPALA PABRIK,Balikpapan,IDR,Supervisor/Koordinator,0 tahun,Diploma (D3/D4),Penuh Waktu,"Manufaktur,Manufaktur",18 days,51 - 200 pekerja,Manufaktur/Produksi,10500000.0,0,0-1,10 - 20 juta,4700000.0,223.4,5760000.0,182.29
10,Tax Supervisor,Banten,IDR,Supervisor/Koordinator,3 tahun,Diploma (D3/D4),Penuh Waktu,"Akuntansi / Keuangan,Audit & Pajak",22 days,51 - 200 pekerja,Konstruksi/Bangunan/Teknik,8000000.0,3,2-3,5 - 10 juta,6000000.0,133.33,5000000.0,160.0
23,Senior Staff Purchasing,Surabaya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Diploma (D3/D4),Penuh Waktu,"Manufaktur,Pembelian/Manajemen Material",29 days,1- 50 pekerja,Elektrikal & Elektronik,5250000.0,2,2-3,5 - 10 juta,6000000.0,87.5,4700000.0,111.7
27,MARKETING COMMUNICATION & CHANNEL MANAGER,Jakarta Pusat,IDR,Manajer/Asisten Manajer,2 tahun,Tidak Terspesifikasi,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",29 days,51 - 200 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",15000000.0,2,2-3,10 - 20 juta,6000000.0,250.0,6000000.0,250.0
32,PPIC,Tangerang,IDR,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),Penuh Waktu,"Manufaktur,Manufaktur",21 days,201 - 500 pekerja,Manufaktur/Produksi,6600000.0,5,4-5,5 - 10 juta,10500000.0,62.86,5500000.0,120.0
35,C# Advanced/Senior Developer,Jakarta Timur,IDR,Supervisor/Koordinator,2 tahun,SMA/SMK,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",5 days,1- 50 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),9500000.0,2,2-3,5 - 10 juta,6000000.0,158.33,6000000.0,158.33
38,IT Software Developer Staff,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",21 days,501 - 1000 pekerja,Industri Berat/Mesin/Peralatan,6800000.0,1,0-1,5 - 10 juta,4700000.0,144.68,6000000.0,113.33
41,Backend Developer,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,SMA/SMK,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",4 days,51 - 200 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),5500000.0,1,0-1,5 - 10 juta,4700000.0,117.02,6750000.0,81.48
45,BANCASSURANCE SPECIALIST - SURABAYA,Sidoarjo,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,0 tahun,Diploma (D3/D4),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan",7 days,2001 - 5000 pekerja,Asuransi,3330000.0,0,0-1,2 - 5 juta,4700000.0,70.85,5100000.0,65.29
67,Cook,Batam,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,1 tahun,SMA/SMK,Kontrak,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",26 days,201 - 500 pekerja,Manajemen/Konsulting HR,3450000.0,1,0-1,2 - 5 juta,4700000.0,73.4,5500000.0,62.73
